architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,0,Segmentation,30,7299,5,elu,0.0001,128,0.83135533,3,enrique-reef-crop1,0.9633278775810294
CNN,0,Segmentation,30,7299,5,relu,0.001,64,0.8434803,3,enrique-reef-crop1,0.9773776120259071
CNN,0,Segmentation,30,7299,1,tanh,1e-05,8,0.8207203000000002,3,enrique-reef-crop1,0.951004601951209
CNN,0,Segmentation,30,7299,3,relu,0.0001,128,0.85426944,3,enrique-reef-crop1,0.9898794616707812
CNN,0,Segmentation,30,7299,5,tanh,0.001,128,0.8368013000000001,3,enrique-reef-crop1,0.9696383618374665
CNN,0,Segmentation,30,7299,5,relu,1e-05,8,0.83775175,3,enrique-reef-crop1,0.9707396899317325
CNN,0,Segmentation,30,7299,5,elu,0.01,32,0.8506986999999999,3,enrique-reef-crop1,0.9857418886481919
CNN,0,Segmentation,30,7299,5,sigmoid,0.01,128,0.8568126,3,enrique-reef-crop1,0.9928263326857887
CNN,0,Segmentation,30,7299,1,elu,0.0001,32,0.83883065,3,enrique-reef-crop1,0.971989858673806
CNN,0,Segmentation,30,7299,1,relu,0.0001,64,0.84227294,3,enrique-reef-crop1,0.9759785910485878
CNN,0,Segmentation,30,7299,1,relu,0.01,16,0.25593403,3,enrique-reef-crop1,0.2965619838158246
CNN,0,Segmentation,30,7299,1,elu,0.001,128,0.8413480999999999,3,enrique-reef-crop1,0.9749069383843749
CNN,0,Segmentation,30,7299,4,tanh,1e-05,32,0.8408087,3,enrique-reef-crop1,0.9742819119505308
CNN,0,Segmentation,30,7299,4,elu,0.01,8,0.8592787000000001,3,enrique-reef-crop1,0.9956839108995502
CNN,0,Segmentation,30,7299,3,elu,0.001,128,0.84890056,3,enrique-reef-crop1,0.9836583049779056
CNN,0,Segmentation,30,7299,3,tanh,0.01,8,0.8492088,3,enrique-reef-crop1,0.9840154761828891
CNN,0,Segmentation,30,7299,3,sigmoid,1e-05,16,0.84656286,3,enrique-reef-crop1,0.9809495094747588
CNN,0,Segmentation,30,7299,4,elu,1e-05,32,0.8464858000000001,3,enrique-reef-crop1,0.980860216673513
CNN,0,Segmentation,30,7299,2,relu,0.001,64,0.85082716,3,enrique-reef-crop1,0.9858907408834379
CNN,0,Segmentation,30,7299,4,tanh,0.01,64,0.8605888,3,enrique-reef-crop1,0.9972019812202384
CNN,0,Segmentation,30,7299,4,relu,0.01,16,0.8516749,3,enrique-reef-crop1,0.9868730543966507
CNN,0,Segmentation,30,7299,1,tanh,0.0001,8,0.8358508,3,enrique-reef-crop1,0.9685369758060077
CNN,0,Segmentation,30,7299,5,sigmoid,1e-05,16,0.849851,3,enrique-reef-crop1,0.9847596214847333
CNN,0,Segmentation,30,7299,1,sigmoid,0.01,128,0.8404746999999999,3,enrique-reef-crop1,0.9738948915039162
CNN,0,Segmentation,30,7299,5,sigmoid,1e-05,8,0.8432234000000001,3,enrique-reef-crop1,0.9770799307302925
CNN,0,Segmentation,30,7299,2,relu,0.0001,128,0.8520088,3,enrique-reef-crop1,0.9872599589688802
CNN,0,Segmentation,30,7299,1,sigmoid,0.01,64,0.8403463,3,enrique-reef-crop1,0.9737461087933015
CNN,0,Segmentation,30,7299,4,relu,0.001,128,0.84440506,3,enrique-reef-crop1,0.9784491719906119
CNN,0,Segmentation,30,7299,2,tanh,0.01,16,0.85727495,3,enrique-reef-crop1,0.9933620779058253
CNN,0,Segmentation,30,7299,5,tanh,1e-05,128,0.8373921,3,enrique-reef-crop1,0.9703229477053105
CNN,0,Segmentation,30,7299,5,elu,0.0001,16,0.8518290000000001,3,enrique-reef-crop1,0.9870516168242656
CNN,0,Segmentation,30,7299,2,tanh,0.0001,64,0.8434289,3,enrique-reef-crop1,0.9773180525919072
CNN,0,Segmentation,30,7299,3,sigmoid,0.01,128,0.8595099,3,enrique-reef-crop1,0.9959518124781649
CNN,0,Segmentation,30,7299,2,elu,0.01,16,0.25593403,3,enrique-reef-crop1,0.2965619838158246
CNN,0,Segmentation,30,7299,1,tanh,0.0001,32,0.8380857,3,enrique-reef-crop1,0.9711266524411547
CNN,0,Segmentation,30,7299,3,tanh,1e-05,128,0.8402949000000001,3,enrique-reef-crop1,0.9736865493593015
CNN,0,Segmentation,30,7299,5,elu,0.0001,64,0.8520859000000001,3,enrique-reef-crop1,0.9873492981198801
CNN,0,Segmentation,30,7299,3,relu,0.001,8,0.8483354,3,enrique-reef-crop1,0.9830034293024303
CNN,0,Segmentation,30,7299,4,relu,0.0001,128,0.85424376,3,enrique-reef-crop1,0.9898497051286582
CNN,0,Segmentation,30,7299,2,sigmoid,0.0001,64,0.8555282,3,enrique-reef-crop1,0.9913380420821004
CNN,0,Segmentation,30,7299,1,sigmoid,0.001,8,0.8398325000000001,3,enrique-reef-crop1,0.9731507462020722
CNN,0,Segmentation,30,7299,3,sigmoid,0.0001,8,0.8580969999999999,3,enrique-reef-crop1,0.9943146232894766
CNN,0,Segmentation,30,7299,4,elu,0.01,32,0.85290796,3,enrique-reef-crop1,0.98830185509097
CNN,0,Segmentation,30,7299,1,relu,0.01,64,0.8410141999999999,3,enrique-reef-crop1,0.9745200338121455
CNN,0,Segmentation,30,7299,1,elu,0.001,16,0.8400894,3,enrique-reef-crop1,0.9734484274976868
CNN,0,Segmentation,30,7299,4,tanh,1e-05,8,0.8430179,3,enrique-reef-crop1,0.9768418088686778
CNN,0,Segmentation,30,7299,5,tanh,0.0001,16,0.8413480999999999,3,enrique-reef-crop1,0.9749069383843749
CNN,0,Segmentation,30,7299,3,elu,0.0001,128,0.84733355,3,enrique-reef-crop1,0.9818425417741643
CNN,0,Segmentation,30,7299,3,relu,0.001,128,0.84550965,3,enrique-reef-crop1,0.9797291088622467
CNN,0,Segmentation,30,7299,3,relu,0.01,16,0.8562988000000001,3,enrique-reef-crop1,0.9922309700945594
CNN,0,Segmentation,30,7299,2,elu,0.001,32,0.8583539000000001,3,enrique-reef-crop1,0.9946123045850915
CNN,0,Segmentation,30,7299,2,tanh,0.001,32,0.84843814,3,enrique-reef-crop1,0.9831224786457992
CNN,0,Segmentation,30,7299,4,tanh,0.0001,8,0.8505189000000001,3,enrique-reef-crop1,0.9855335465035774
CNN,0,Segmentation,30,7299,1,elu,0.001,32,0.8445078000000001,3,enrique-reef-crop1,0.9785682213339808
CNN,0,Segmentation,30,7299,1,sigmoid,1e-05,64,0.81933314,3,enrique-reef-crop1,0.9493972388292747
CNN,0,Segmentation,30,7299,5,sigmoid,0.0001,8,0.85213727,3,enrique-reef-crop1,0.9874088227915645
CNN,0,Segmentation,30,7299,4,elu,0.001,16,0.8558621,3,enrique-reef-crop1,0.9917249466543299
CNN,0,Segmentation,30,7299,2,tanh,1e-05,32,0.83806,3,enrique-reef-crop1,0.9710968727241547
CNN,0,Segmentation,30,7299,1,elu,0.01,8,0.25593403,3,enrique-reef-crop1,0.2965619838158246
CNN,0,Segmentation,30,7299,3,sigmoid,0.001,64,0.860075,3,enrique-reef-crop1,0.996606618629009
CNN,0,Segmentation,30,7299,2,relu,0.01,64,0.85000515,3,enrique-reef-crop1,0.9849382418495405
CNN,0,Segmentation,30,7299,4,relu,0.001,8,0.8434546,3,enrique-reef-crop1,0.9773478323089072
CNN,0,Segmentation,30,7299,1,sigmoid,0.0001,128,0.8391389000000001,3,enrique-reef-crop1,0.9723470414662282
CNN,0,Segmentation,30,7299,5,elu,0.001,64,0.8563245,3,enrique-reef-crop1,0.9922607498115593
CNN,0,Segmentation,30,7299,4,sigmoid,0.001,8,0.8630035,3,enrique-reef-crop1,1.0
CNN,0,Segmentation,30,7299,4,tanh,0.001,8,0.85691535,3,enrique-reef-crop1,0.992945393616596
CNN,0,Segmentation,30,7299,5,tanh,0.001,32,0.8544492,3,enrique-reef-crop1,0.9900877574656418
CNN,0,Segmentation,30,7299,2,elu,1e-05,8,0.8456123999999999,3,enrique-reef-crop1,0.979848169793054
CNN,0,Segmentation,30,7299,2,elu,0.001,64,0.84846383,3,enrique-reef-crop1,0.9831522467753607
CNN,0,Segmentation,30,7299,4,elu,0.01,64,0.8616163,3,enrique-reef-crop1,0.9983925905283119
CNN,0,Segmentation,30,7299,2,elu,0.0001,128,0.8455867,3,enrique-reef-crop1,0.9798183900760541
CNN,0,Segmentation,30,7299,2,sigmoid,0.01,8,0.8552199,3,enrique-reef-crop1,0.9909808013524858
CNN,0,Segmentation,30,7299,3,sigmoid,1e-05,32,0.8511868,3,enrique-reef-crop1,0.9863074715224214
CNN,0,Segmentation,30,7299,1,tanh,0.001,8,0.8416564000000001,3,enrique-reef-crop1,0.9752641791139898
CNN,0,Segmentation,30,7299,2,tanh,0.0001,8,0.8533446,3,enrique-reef-crop1,0.9888078090065683
CNN,0,Segmentation,30,7299,1,elu,0.0001,8,0.84016645,3,enrique-reef-crop1,0.9735377087114941
CNN,0,Segmentation,30,7299,5,tanh,0.0001,64,0.8369810999999999,3,enrique-reef-crop1,0.9698467039820811
CNN,0,Segmentation,30,7299,5,tanh,0.01,128,0.8570181,3,enrique-reef-crop1,0.9930644545474033
CNN,0,Segmentation,30,7299,5,elu,0.001,16,0.8567611999999999,3,enrique-reef-crop1,0.9927667732517885
CNN,0,Segmentation,30,7299,1,elu,0.0001,128,0.8354140999999999,3,enrique-reef-crop1,0.9680309523657783
CNN,0,Segmentation,30,7299,4,relu,0.001,16,0.8482583,3,enrique-reef-crop1,0.9829140901514304
CNN,0,Segmentation,30,7299,1,sigmoid,0.001,16,0.84124535,3,enrique-reef-crop1,0.9747878774535677
CNN,0,Segmentation,30,7299,1,sigmoid,0.001,128,0.8416049999999999,3,enrique-reef-crop1,0.9752046196799896
CNN,0,Segmentation,30,7299,3,elu,0.01,64,0.85799426,3,enrique-reef-crop1,0.9941955739461079
CNN,0,Segmentation,30,7299,1,elu,0.01,32,0.8437372,3,enrique-reef-crop1,0.9776752933215218
CNN,0,Segmentation,30,7299,5,relu,0.0001,64,0.8465372,3,enrique-reef-crop1,0.9809197761075128
CNN,0,Segmentation,30,7299,3,tanh,0.001,16,0.8580969999999999,3,enrique-reef-crop1,0.9943146232894766
CNN,0,Segmentation,30,7299,5,elu,1e-05,16,0.8405518,3,enrique-reef-crop1,0.9739842306549161
CNN,0,Segmentation,30,7299,3,sigmoid,1e-05,8,0.8450985999999999,3,enrique-reef-crop1,0.9792528072018246
CNN,0,Segmentation,30,7299,1,sigmoid,1e-05,32,0.82465065,3,enrique-reef-crop1,0.9555588708504659
CNN,0,Segmentation,30,7299,4,elu,1e-05,128,0.84620327,3,enrique-reef-crop1,0.9805328367729678
CNN,0,Segmentation,30,7299,5,relu,0.01,16,0.8504931999999998,3,enrique-reef-crop1,0.9855037667865771
CNN,0,Segmentation,30,7299,1,relu,1e-05,16,0.8306617000000001,3,enrique-reef-crop1,0.96252413808287
CNN,0,Segmentation,30,7299,3,tanh,0.0001,64,0.845073,3,enrique-reef-crop1,0.9792231433592099
CNN,0,Segmentation,30,7299,4,tanh,0.0001,128,0.83664715,3,enrique-reef-crop1,0.9694597414726591
CNN,0,Segmentation,30,7299,5,elu,0.01,16,0.8583539000000001,3,enrique-reef-crop1,0.9946123045850915
CNN,0,Segmentation,30,7299,1,elu,1e-05,32,0.8288121999999999,3,enrique-reef-crop1,0.9603810413283375
CNN,0,Segmentation,30,7299,5,elu,1e-05,8,0.8471537,3,enrique-reef-crop1,0.981634141692357
CNN,0,Segmentation,30,7299,1,sigmoid,0.0001,64,0.83954996,3,enrique-reef-crop1,0.9728233547140887
CNN,0,Segmentation,30,7299,4,sigmoid,0.0001,16,0.8586878000000001,3,enrique-reef-crop1,0.994999209157321
